model,production year,mileage,engine capacity,price,currency,city,region
Ford Focus Mk3,2012,142 126 km,1 596 cm3,29 000,PLN,Piaseczno,Mazowieckie
Ford Focus Mk3,2016,83 000 km,1 596 cm3,33 700,PLN,Minkowice O³awskie,Dolnoœl¹skie
Ford Focus Mk3,2013,91 115 km,998 cm3,28 900,PLN,Sieroniowice,Opolskie
Ford Focus Mk3,2014,89 000 km,1 999 cm3,49 999,PLN,Gniezno,Wielkopolskie
Ford Focus Mk3,2011,78 000 km,1 600 cm3,30 000,PLN,Pu³awy,Lubelskie
Ford Focus Mk3,2014,149 000 km,999 cm3,26 900,PLN,Pi³a,Wielkopolskie
Ford Focus Mk3,2015,85 850 km,1 596 cm3,35 000,PLN,Piaseczno,Mazowieckie
Ford Focus Mk3,2016,76 640 km,1 999 cm3,44 900,PLN,¯nin,Kujawsko-pomorskie
Ford Focus Mk3,2013,101 000 km,1 600 cm3,34 800,PLN,Gniezno,Wielkopolskie
Ford Focus Mk3,2012,105 000 km,1 000 cm3,27 900,PLN,Radom,Mazowieckie
Ford Focus Mk3,2015,83 500 km,2 000 cm3,34 500,PLN,Bia³ystok,Podlaskie
Ford Focus Mk3,2011,85 579 km,1 596 cm3,28 000,PLN,Warszawa,Mazowieckie
Ford Focus Mk2,2009,149 000 km,1 600 cm3,16 900,PLN,Tarnów,Ma³opolskie
Ford Focus Mk3,2011,99 000 km,1 596 cm3,28 500,PLN,Bia³ystok,Podlaskie
Ford Focus Mk3,2011,118 000 km,1 596 cm3,29 900,PLN,Kalisz,Wielkopolskie
Ford Focus Mk3,2015,75 000 km,1 600 cm3,43 899,PLN,Katowice,Œl¹skie
Ford Focus Mk3,2011,131 000 km,1 600 cm3,27 500,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2017,105 700 km,2 000 cm3,27 000,PLN,Mielec,Podkarpackie
Ford Focus Mk3,2016,82 000 km,1 600 cm3,42 500,PLN,Rzeszów,Podkarpackie
Ford Focus Mk3,2011,144 500 km,1 596 cm3,32 400,PLN,Lublin,Lubelskie
Ford Focus Mk3,2012,144 000 km,999 cm3,29 500,PLN,Rybnik,Œl¹skie
Ford Focus Mk3,2013,112 000 km,1 998 cm3,45 400,PLN,Wrzeœnia,Wielkopolskie
Ford Focus Mk3,2012,143 000 km,2 000 cm3,25 300,PLN,Lubartów,Lubelskie
Ford Focus Mk3,2014,91 698 km,1 600 cm3,30 900,PLN,Przemków,Dolnoœl¹skie
Ford Focus Mk2,2009,125 600 km,1 600 cm3,18 999,PLN,Gorzów Wielkopolski,Lubuskie
Ford Focus Mk2,2009,149 000 km,1 600 cm3,16 800,PLN,Lubartów,Lubelskie
Ford Focus Mk2,2009,138 674 km,1 596 cm3,16 900,PLN,Gliwice,Œl¹skie
Ford Focus Mk3,2014,83 000 km,998 cm3,32 900,PLN,Kielce,Œwiêtokrzyskie
Ford Focus Mk3,2011,92 000 km,1 599 cm3,33 900,PLN,Bia³ystok,Podlaskie
Ford Focus Mk3,2011,129 000 km,1 600 cm3,27 990,PLN,Susz,Warmiñsko-mazurskie
Ford Focus Mk3,2013,113 474 km,1 596 cm3,30 000,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2014,78 257 km,999 cm3,34 900,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2017,80 000 km,1 600 cm3,39 900,PLN,Gorzów Wielkopolski,Lubuskie
Ford Focus Mk3,2014,79 110 km,1 498 cm3,45 900,PLN,Nochowo,Wielkopolskie
Ford Focus Mk3,2016,82 000 km,2 000 cm3,43 500,PLN,Ostrowiec Œwiêtokrzyski,Œwiêtokrzyskie
Ford Focus Mk3,2014,137 000 km,998 cm3,27 900,PLN,KoŸminek,Wielkopolskie
Ford Focus Mk2,2009,148 455 km,1 596 cm3,16 400,PLN,Poznañ,Wielkopolskie
Ford Focus Mk2,2010,119 700 km,1 600 cm3,15 888,PLN,Leszno,Wielkopolskie
Ford Focus Mk3,2012,122 000 km,998 cm3,31 900,PLN,Zduñska Wola,£ódzkie
Ford Focus Mk2,2009,141 587 km,1 800 cm3,16 800,PLN,Wilchta,Mazowieckie
Ford Focus Mk3,2012,112 907 km,1 000 cm3,29 900,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2014,103 000 km,998 cm3,32 900,PLN,Wroc³aw,Dolnoœl¹skie
Ford Focus Mk3,2015,82 975 km,1 498 cm3,43 900,PLN,Poznañ,Wielkopolskie
Ford Focus Mk3,2012,118 913 km,998 cm3,29 300,PLN,£ódŸ,£ódzkie
Ford Focus Mk3,2012,141 000 km,998 cm3,24 900,PLN,Jelenia Góra,Dolnoœl¹skie
Ford Focus Mk2,2009,119 000 km,1 599 cm3,15 900,PLN,Zduñska Wola,£ódzkie
Ford Focus Mk3,2013,119 000 km,998 cm3,24 999,PLN,Koœcierzyna-Wybudowanie,Pomorskie
Ford Focus Mk3,2011,132 000 km,1 600 cm3,31 999,PLN,Pi³a,Wielkopolskie
Ford Focus Mk2,2009,130 000 km,1 600 cm3,18 800,PLN,Mierzêcice,Œl¹skie
Ford Focus Mk3,2012,97 000 km,1 000 cm3,26 900,PLN,Ostrowiec Œwiêtokrzyski,Œwiêtokrzyskie
Ford Focus Mk3,2012,115 000 km,Benzyna,30 900,PLN,£ódŸ,£ódzkie
Ford Focus Mk3,2013,148 490 km,998 cm3,30 900,PLN,Toruñ,Kujawsko-pomorskie
Ford Focus Mk3,2016,82 500 km,1 996 cm3,36 600,PLN,Ostro³êka,Mazowieckie
Ford Focus Mk2,2010,124 000 km,1 800 cm3,18 999,PLN,Rzeszów,Podkarpackie
Ford Focus Mk3,2012,97 000 km,1 600 cm3,36 900,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2013,100 000 km,1 596 cm3,39 900,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2012,127 174 km,1 000 cm3,24 400,PLN,Sierakowice,Pomorskie
Ford Focus Mk2,2009,111 000 km,1 798 cm3,18 900,PLN,Knurów,Œl¹skie
Ford Focus Mk3,2011,95 000 km,1 595 cm3,27 500,PLN,Sadowie,Œl¹skie
Ford Focus Mk3,2015,81 912 km,2 000 cm3,30 900,PLN,Siedlce,Mazowieckie
Ford Focus Mk3,2016,125 000 km,1 600 cm3,36 900,PLN,Bia³a Podlaska,Lubelskie
Ford Focus Mk3,2015,104 161 km,2 000 cm3,37 000,PLN,Chech³o Pierwsze,£ódzkie
Ford Focus Mk2,2010,124 000 km,1 600 cm3,17 999,PLN,Rzeszów,Podkarpackie
Ford Focus Mk3,2017,87 440 km,1 600 cm3,39 900,PLN,Mys³owice,Œl¹skie
Ford Focus Mk3,2016,133 000 km,1 600 cm3,36 900,PLN,Œrem,Wielkopolskie
Ford Focus Mk3,2012,141 247 km,998 cm3,30 900,PLN,Radom,Mazowieckie
Ford Focus Mk2,2009,114 605 km,1 997 cm3,19 900,PLN,Wa³brzych,Dolnoœl¹skie
Ford Focus Mk3,2011,135 037 km,1 596 cm3,30 900,PLN,Ryki,Lubelskie
Ford Focus Mk3,2013,101 496 km,998 cm3,25 000,PLN,Piaseczno,Mazowieckie
Ford Focus Mk3,2014,82 000 km,1 000 cm3,27 900,PLN,£ódŸ,£ódzkie
Ford Focus Mk3,2011,130 200 km,1 596 cm3,34 900,PLN,Proszowice,Ma³opolskie
Ford Focus Mk3,2012,140 000 km,1 000 cm3,25 900,PLN,Korzenna,Ma³opolskie
Ford Focus Mk3,2012,149 400 km,1 999 cm3,14 990,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2011,149 000 km,1 600 cm3,31 900,PLN,Busko-Zdrój,Œwiêtokrzyskie
Ford Focus Mk3,2015,75 000 km,999 cm3,9 900,PLN,Kraków,Ma³opolskie
Ford Focus Mk2,2009,130 000 km,1 596 cm3,13 700,PLN,Kalisz,Wielkopolskie
Ford Focus Mk3,2011,125 000 km,1 600 cm3,28 700,PLN,Busko-Zdrój,Œwiêtokrzyskie
Ford Focus Mk3,2014,77 000 km,1 000 cm3,31 900,PLN,Poznañ,Wielkopolskie
Ford Focus Mk3,2013,91 000 km,1 600 cm3,28 900,PLN,Rypin,Kujawsko-pomorskie
Ford Focus Mk3,2014,111 800 km,998 cm3,30 900,PLN,Wygie³zów,Ma³opolskie
Ford Focus Mk2,2009,143 000 km,1 600 cm3,18 800,PLN,Panki,Œl¹skie
Ford Focus Mk3,2012,133 505 km,998 cm3,31 000,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2015,77 255 km,1 596 cm3,36 999,PLN,Poznañ,Wielkopolskie
Ford Focus Mk2,2009,122 791 km,1 596 cm3,22 000,PLN,Katowice,Œl¹skie
Ford Focus Mk3,2013,84 235 km,998 cm3,34 500,PLN,Olsztyn,Warmiñsko-mazurskie
Ford Focus Mk3,2016,105 750 km,1 600 cm3,38 500,PLN,Zabrze,Œl¹skie
Ford Focus Mk2,2011,145 000 km,1 596 cm3,19 900,PLN,¯ary,Lubuskie
Ford Focus Mk3,2011,99 550 km,1 600 cm3,27 900,PLN,Zabrze,Œl¹skie
Ford Focus Mk3,2015,90 000 km,1 000 cm3,39 900,PLN,Szczecin,Zachodniopomorskie
Ford Focus Mk3,2011,115 000 km,1 600 cm3,29 900,PLN,Opole,Opolskie
Ford Focus Mk3,2016,83 000 km,1 600 cm3,33 700,PLN,Minkowice O³awskie,Dolnoœl¹skie
Ford Focus Mk3,2011,140 000 km,1 600 cm3,29 900,PLN,Orzech,Œl¹skie
Ford Focus Mk2,2009,134 000 km,1 596 cm3,18 900,PLN,£aziska Górne,Œl¹skie
Ford Focus Mk2,2011,128 000 km,1 596 cm3,20 000,PLN,Pruszków,Mazowieckie
Ford Focus Mk3,2011,135 000 km,1 596 cm3,32 500,PLN,Nowa Wieœ,Kujawsko-pomorskie
Ford Focus Mk3,2011,140 000 km,1 600 cm3,27 000,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2014,149 000 km,1 596 cm3,36 800,PLN,Wieluñ,£ódzkie
Ford Focus Mk2,2009,125 830 km,1 600 cm3,15 800,PLN,Jaworzno,Œl¹skie
Ford Focus Mk3,2016,114 835 km,1 000 cm3,34 900,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2014,122 000 km,1 596 cm3,28 700,PLN,Zieleniewo,Zachodniopomorskie
Ford Focus Mk3,2015,147 630 km,1 596 cm3,31 000,PLN,Bielsko-Bia³a,Œl¹skie
Ford Focus Mk3,2013,102 704 km,998 cm3,34 900,PLN,Gliwice,Œl¹skie
Ford Focus Mk3,2014,92 445 km,1 000 cm3,39 900,PLN,Bydgoszcz,Kujawsko-pomorskie
Ford Focus Mk2,2011,129 000 km,1 600 cm3,17 800,PLN,Leszno,Wielkopolskie
Ford Focus Mk3,2015,90 115 km,1 000 cm3,39 900,PLN,Gdañsk,Pomorskie
Ford Focus Mk2,2009,86 000 km,1 600 cm3,19 900,PLN,Morzyczyn,Zachodniopomorskie
Ford Focus Mk3,2014,99 482 km,999 cm3,27 999,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2011,110 123 km,1 600 cm3,28 900,PLN,Gniezno,Wielkopolskie
Ford Focus Mk3,2013,82 000 km,1 000 cm3,28 900,PLN,Tymbark,Ma³opolskie
Ford Focus Mk3,2015,88 000 km,1 600 cm3,48 900,PLN,Katowice,Œl¹skie
Ford Focus Mk3,2014,107 000 km,998 cm3,36 500,PLN,Bilcza,Œwiêtokrzyskie
Ford Focus Mk3,2013,86 319 km,998 cm3,31 900,PLN,Gdynia,Pomorskie
Ford Focus Mk3,2014,82 223 km,998 cm3,37 998,PLN,Katowice,Œl¹skie
Ford Focus Mk2,2009,140 000 km,2 500 cm3,39 900,PLN,Strzegom,Dolnoœl¹skie
Ford Focus Mk2,2009,81 000 km,1 596 cm3,22 500,PLN,Poznañ,Wielkopolskie
Ford Focus Mk3,2013,127 000 km,998 cm3,25 900,PLN,Koœcierzyna,Pomorskie
Ford Focus Mk3,2011,109 000 km,1 600 cm3,29 999,PLN,Pinczyn,Pomorskie
Ford Focus Mk3,2013,100 122 km,1 000 cm3,29 901,PLN,Trzcinica,Wielkopolskie
Ford Focus Mk3,2016,113 242 km,999 cm3,35 900,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2014,106 000 km,1 596 cm3,30 000,PLN,D¹browa Górnicza,Œl¹skie
Ford Focus Mk3,2014,95 646 km,998 cm3,35 900,PLN,Gdañsk,Pomorskie
Ford Focus Mk3,2013,101 000 km,1 000 cm3,32 900,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2012,103 000 km,998 cm3,27 900,PLN,Goleniów,Zachodniopomorskie
Ford Focus Mk3,2013,87 285 km,998 cm3,28 900,PLN,Biczyce Górne,Ma³opolskie
Ford Focus Mk3,2016,95 000 km,1 600 cm3,41 999,PLN,Orzesze,Œl¹skie
Ford Focus Mk3,2018,90 000 km,1 600 cm3,43 333,PLN,Ciechanów,Mazowieckie
Ford Focus Mk3,2011,93 132 km,1 596 cm3,30 000,PLN,£ódŸ,£ódzkie
Ford Focus Mk3,2012,107 000 km,998 cm3,24 900,PLN,Radomsko,£ódzkie
Ford Focus Mk3,2014,86 320 km,998 cm3,36 800,PLN,Piaseczno,Mazowieckie
Ford Focus Mk3,2014,97 660 km,1 596 cm3,32 900,PLN,Lublin,Lubelskie
Ford Focus Mk3,2017,101 000 km,1 596 cm3,38 999,PLN,Bêdzin,Œl¹skie
Ford Focus Mk3,2013,107 102 km,998 cm3,23 900,PLN,Kraœnik,Lubelskie
Ford Focus Mk2,2010,98 000 km,1 596 cm3,16 900,PLN,Jastrzêbie-Zdrój,Œl¹skie
Ford Focus Mk3,2016,99 000 km,1 498 cm3,23 900,PLN,Wis³a Wielka,Œl¹skie
Ford Focus Mk3,2014,138 500 km,1 600 cm3,28 990,PLN,Gliwice,Œl¹skie
Ford Focus Mk2,2009,134 089 km,1 600 cm3,17 300,PLN,Siemianowice Œl¹skie,Œl¹skie
Ford Focus Mk2,2009,96 500 km,1 388 cm3,13 500,PLN,Siemianowice Œl¹skie,Œl¹skie
Ford Focus Mk3,2011,88 522 km,1 596 cm3,29 700,PLN,Œwiêtoch³owice,Œl¹skie
Ford Focus Mk3,2013,92 000 km,1 600 cm3,30 000,PLN,¯ory,Œl¹skie
Ford Focus Mk3,2016,138 300 km,1 500 cm3,40 999,PLN,Bydgoszcz,Kujawsko-pomorskie
Ford Focus Mk2,2009,148 220 km,1 600 cm3,13 900,PLN,S³upca,Wielkopolskie
Ford Focus Mk2,2010,138 216 km,1 600 cm3,21 000,PLN,Wroc³aw,Dolnoœl¹skie
Ford Focus Mk3,2010,123 000 km,1 600 cm3,23 500,PLN,£ódŸ,£ódzkie
Ford Focus Mk3,2012,83 500 km,998 cm3,15 900,PLN,Bêdzin,Œl¹skie
Ford Focus Mk3,2012,107 000 km,1 000 cm3,25 200,PLN,Pionki,Mazowieckie
Ford Focus Mk3,2015,95 695 km,1 560 cm3,40 999,PLN,Szczecin,Zachodniopomorskie
Ford Focus Mk3,2014,103 000 km,1 600 cm3,29 900,PLN,£ódŸ,£ódzkie
Ford Focus Mk3,2014,79 000 km,1 000 cm3,25 800,PLN,Grajewo,Podlaskie
Ford Focus Mk2,2009,149 800 km,1 596 cm3,16 900,PLN,Lubartów,Lubelskie
Ford Focus Mk3,2011,134 000 km,1 600 cm3,25 900,PLN,Zgierz,£ódzkie
Ford Focus Mk2,2010,138 625 km,1 400 cm3,14 321,PLN,Œroda Wielkopolska,Wielkopolskie
Ford Focus Mk3,2013,140 000 km,998 cm3,26 900,PLN,Byczyna,Opolskie
Ford Focus Mk3,2015,112 000 km,1 000 cm3,11 600,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2016,88 120 km,1 999 cm3,42 499,PLN,Opole,Opolskie
Ford Focus Mk3,2013,106 800 km,998 cm3,18 500,PLN,£ochów,Mazowieckie
Ford Focus Mk3,2013,137 855 km,998 cm3,26 900,PLN,£ódŸ,£ódzkie
Ford Focus Mk3,2011,144 906 km,1 600 cm3,33 900,PLN,Kluczbork,Opolskie
Ford Focus Mk3,2012,97 000 km,1 000 cm3,25 500,PLN,Kalwaria Zebrzydowska,Ma³opolskie
Ford Focus Mk3,2014,129 500 km,998 cm3,35 900,PLN,Wroc³aw,Dolnoœl¹skie
Ford Focus Mk3,2014,140 000 km,1 000 cm3,32 800,PLN,Milicz,Dolnoœl¹skie
Ford Focus Mk2,2009,107 528 km,1 596 cm3,15 900,PLN,Zgorzelec,Dolnoœl¹skie
Ford Focus Mk3,2012,123 073 km,998 cm3,27 300,PLN,W³oszczowice,Œwiêtokrzyskie
Ford Focus Mk2,2010,115 000 km,1 600 cm3,16 900,PLN,Chorzów,Œl¹skie
Ford Focus Mk2,2009,117 010 km,Benzyna,21 900,PLN,Sobótka,Dolnoœl¹skie
Ford Focus Mk3,2014,128 455 km,998 cm3,31 900,PLN,Kamienica,Opolskie
Ford Focus Mk3,2015,80 672 km,999 cm3,34 900,PLN,Kartuzy,Pomorskie
Ford Focus Mk2,2010,150 000 km,1 600 cm3,14 900,PLN,Witkowo,Wielkopolskie
Ford Focus Mk3,2012,140 000 km,998 cm3,14 300,PLN,Pu³awy,Lubelskie
Ford Focus Mk2,2009,148 000 km,1 596 cm3,16 900,PLN,Krzewie Wielkie,Dolnoœl¹skie
Ford Focus Mk3,2013,140 000 km,998 cm3,27 900,PLN,Rydu³towy,Œl¹skie
Ford Focus Mk3,2013,75 000 km,998 cm3,27 500,PLN,G¹bin,Mazowieckie
Ford Focus Mk2,2009,118 500 km,1 600 cm3,16 500,PLN,Gdynia,Pomorskie
Ford Focus Mk3,2012,101 000 km,1 998 cm3,42 000,PLN,£ódŸ,£ódzkie
Ford Focus Mk3,2012,101 000 km,998 cm3,27 900,PLN,Grabówki,Ma³opolskie
Ford Focus Mk2,2009,134 900 km,1 798 cm3,18 900,PLN,St¹porków,Œwiêtokrzyskie
Ford Focus Mk3,2013,90 000 km,1 528 cm3,35 500,PLN,Rawicz,Wielkopolskie
Ford Focus Mk3,2013,88 072 km,1 000 cm3,34 900,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2011,92 500 km,1 600 cm3,28 900,PLN,D¹browa Górnicza,Œl¹skie
Ford Focus Mk3,2013,130 000 km,2 000 cm3,28 900,PLN,Bugaj,Wielkopolskie
Ford Focus Mk3,2011,103 852 km,1 596 cm3,26 900,PLN,Che³mno,Kujawsko-pomorskie
Ford Focus Mk3,2016,78 000 km,1 600 cm3,39 500,PLN,Toruñ,Kujawsko-pomorskie
Ford Focus Mk3,2010,81 759 km,1 999 cm3,29 900,PLN,Jas³o,Podkarpackie
Ford Focus Mk3,2013,110 000 km,1 600 cm3,28 999,PLN,Baranów,Wielkopolskie
Ford Focus Mk3,2017,100 000 km,1 600 cm3,14 900,PLN,Tychy,Œl¹skie
Ford Focus Mk3,2011,149 000 km,1 596 cm3,27 500,PLN,Rawa Mazowiecka,£ódzkie
Ford Focus Mk2,2009,121 000 km,1 598 cm3,18 900,PLN,Skar¿ysko-Kamienna,Œwiêtokrzyskie
Ford Focus Mk3,2011,115 000 km,1 596 cm3,27 900,PLN,K³odzko,Dolnoœl¹skie
Ford Focus Mk3,2011,120 000 km,1 600 cm3,26 700,PLN,Rzeszów,Podkarpackie
Ford Focus Mk3,2012,104 000 km,1 000 cm3,27 600,PLN,Humniska,Podkarpackie
Ford Focus Mk3,2013,110 000 km,1 000 cm3,28 900,PLN,Sade Budy,Mazowieckie
Ford Focus Mk3,2014,88 100 km,1 596 cm3,39 999,PLN,Zawiercie,Œl¹skie
Ford Focus Mk3,2015,94 000 km,1 600 cm3,41 999,PLN,Milanówek,Mazowieckie
Ford Focus Mk3,2016,119 000 km,1 500 cm3,37 500,PLN,I³owa,Lubuskie
Ford Focus Mk2,2010,145 771 km,1 600 cm3,17 900,PLN,Bia³ystok,Podlaskie
Ford Focus Mk3,2010,133 000 km,1 600 cm3,15 999,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2011,100 000 km,1 600 cm3,30 000,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2015,111 600 km,2 000 cm3,35 000,PLN,Ostrów Mazowiecka,Mazowieckie
Ford Focus Mk2,2009,145 000 km,1 596 cm3,20 900,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2015,75 000 km,1 999 cm3,33 900,PLN,Grudzi¹dz,Kujawsko-pomorskie
Ford Focus Mk3,2016,90 200 km,1 600 cm3,42 500,PLN,Krosno,Podkarpackie
Ford Focus Mk3,2015,90 615 km,1 600 cm3,36 900,PLN,Starogard Gdañski,Pomorskie
Ford Focus Mk2,2010,135 000 km,1 800 cm3,17 500,PLN,Nowa Wieœ Rzeczna,Pomorskie
Ford Focus Mk3,2015,130 000 km,1 596 cm3,35 900,PLN,O¿arowice,Œl¹skie
Ford Focus Mk3,2014,148 700 km,1 596 cm3,35 900,PLN,Pogórska Wola,Ma³opolskie
Ford Focus Mk3,2013,103 000 km,993 cm3,36 900,PLN,Ostró¿ki,Pomorskie
Ford Focus Mk3,2012,139 000 km,1 596 cm3,31 000,PLN,Wa³brzych,Dolnoœl¹skie
Ford Focus Mk3,2011,124 000 km,1 596 cm3,25 900,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2012,108 000 km,1 600 cm3,33 900,PLN,Radom,Mazowieckie
Ford Focus Mk3,2015,105 000 km,1 600 cm3,44 900,PLN,Lipno,Kujawsko-pomorskie
Ford Focus Mk3,2013,149 218 km,998 cm3,31 400,PLN,Z³otów,Wielkopolskie
Ford Focus Mk3,2014,141 100 km,1 596 cm3,27 500,PLN,D¹browa Górnicza,Œl¹skie
Ford Focus Mk3,2015,84 000 km,Benzyna,20 910,PLN,Ustka,Pomorskie
Ford Focus Mk3,2016,110 000 km,1 600 cm3,39 600,PLN,Wroc³aw,Dolnoœl¹skie
Ford Focus Mk3,2011,137 000 km,1 596 cm3,27 900,PLN,Jas³o,Podkarpackie
Ford Focus Mk3,2012,107 000 km,998 cm3,18 900,PLN,P³ock,Mazowieckie
Ford Focus Mk2,2009,104 100 km,2 000 cm3,17 990,PLN,Gliwice,Œl¹skie
Ford Focus Mk3,2012,87 000 km,998 cm3,26 900,PLN,Kunice,Dolnoœl¹skie
Ford Focus Mk3,2015,85 000 km,1 600 cm3,36 900,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2016,78 378 km,1 600 cm3,30 900,PLN,Wroc³aw,Dolnoœl¹skie
Ford Focus Mk2,2010,126 000 km,1 600 cm3,21 000,PLN,Bydgoszcz,Kujawsko-pomorskie
Ford Focus Mk2,2009,100 552 km,2 000 cm3,17 500,PLN,Januszkowo,Kujawsko-pomorskie
Ford Focus Mk3,2014,117 000 km,1 596 cm3,35 999,PLN,Bêdzin,Œl¹skie
Ford Focus Mk3,2013,129 000 km,1 000 cm3,29 900,PLN,Wroc³aw,Dolnoœl¹skie
Ford Focus Mk3,2012,121 000 km,1 000 cm3,23 500,PLN,Soko³ów Podlaski,Mazowieckie
Ford Focus Mk2,2010,130 000 km,Benzyna,23 500,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2014,81 000 km,998 cm3,32 900,PLN,Jelenia Góra,Dolnoœl¹skie
Ford Focus Mk2,2009,109 000 km,1 596 cm3,19 500,PLN,Jelenia Góra,Dolnoœl¹skie
Ford Focus Mk3,2013,77 658 km,1 596 cm3,33 700,PLN,Smardzowice,Ma³opolskie
Ford Focus Mk2,2009,141 000 km,1 600 cm3,17 900,PLN,Strzegom,Dolnoœl¹skie
Ford Focus Mk3,2014,123 600 km,1 600 cm3,34 900,PLN,¯ory,Œl¹skie
Ford Focus Mk3,2014,139 990 km,999 cm3,27 900,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2011,117 709 km,1 596 cm3,26 900,PLN,Juchnowiec Koœcielny,Podlaskie
Ford Focus Mk3,2015,109 462 km,2 500 cm3,26 900,PLN,Siedlce,Mazowieckie
Ford Focus Mk3,2012,108 746 km,999 cm3,27 900,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2014,83 000 km,1 000 cm3,33 000,PLN,Zielona Góra,Lubuskie
Ford Focus Mk3,2011,143 000 km,1 600 cm3,28 900,PLN,Strzelce Opolskie,Opolskie
Ford Focus Mk3,2015,98 700 km,1 596 cm3,42 900,PLN,£ysakówek,Podkarpackie
Ford Focus Mk3,2012,144 000 km,1 598 cm3,23 900,PLN,Wrêczyca Wielka,Œl¹skie
Ford Focus Mk3,2011,93 500 km,1 600 cm3,29 900,PLN,Smardy Górne,Opolskie
Ford Focus Mk2,2010,149 000 km,1 798 cm3,18 999,PLN,Legnica,Dolnoœl¹skie
Ford Focus Mk2,2010,106 000 km,1 598 cm3,23 100,PLN,Gorzów,Ma³opolskie
Ford Focus Mk3,2014,124 000 km,1 600 cm3,28 900,PLN,Swarzêdz,Wielkopolskie
Ford Focus Mk3,2013,126 000 km,998 cm3,26 500,PLN,Rawa Mazowiecka,£ódzkie
Ford Focus Mk2,2009,90 000 km,1 598 cm3,19 900,PLN,Sosnowiec,Œl¹skie
Ford Focus Mk3,2012,100 200 km,998 cm3,25 900,PLN,Maszkowice,Ma³opolskie
Ford Focus Mk3,2012,133 000 km,1 600 cm3,29 500,PLN,Bia³ogard,Zachodniopomorskie
Ford Focus Mk3,2016,122 000 km,1 500 cm3,31 600,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2011,97 500 km,1 596 cm3,31 500,PLN,Pi³a,Wielkopolskie
Ford Focus Mk3,2016,78 509 km,2 000 cm3,35 900,PLN,Koby³ka,Mazowieckie
Ford Focus Mk3,2015,97 000 km,1 500 cm3,49 900,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2011,127 000 km,1 600 cm3,23 900,PLN,Olsztyn,Warmiñsko-mazurskie
Ford Focus Mk3,2011,84 000 km,1 599 cm3,28 999,PLN,Radom,Mazowieckie
